15A81A0388,R1632033,REFRIGERATION & AIR-CONDITIONING,F,0
15A81A0388,R1632034,HEAT TRANSFER,F,0
15A81A0388,R1632036,HEAT TRANSFER LAB,A,2
15A81A0388,R1632037,METROLOGY & INSTRUMENTATION LAB,B,2
15A81A0388,R1632038,COMPUTATIONAL FLUID DYNAMICS LAB,B,2
15A81A0388,R163203D,GREEN ENGINEERING SYSTEMS,F,0
15A81A0390,PT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,ABSENT,0
15A81A0390,R1632031,METROLOGY,F,0
15A81A0390,R1632032,INSTRUMENTATION & CONTROL SYSTEMS,F,0
15A81A0390,R1632033,REFRIGERATION & AIR-CONDITIONING,ABSENT,0
15A81A0390,R1632034,HEAT TRANSFER,F,0
15A81A0390,R1632036,HEAT TRANSFER LAB,C,2
15A81A0390,R1632037,METROLOGY & INSTRUMENTATION LAB,B,2
15A81A0390,R1632038,COMPUTATIONAL FLUID DYNAMICS LAB,B,2
15A81A0390,R163203D,GREEN ENGINEERING SYSTEMS,F,0
15A81A0434,P1632043,DIGITAL COMMUNICATIONS,ABSENT,0
Htno,Subcode,Subname,Grade,Credits
15A81A0434,R1632041,MICROPROCESSORS AND MICROCONTROLLERS,F,0
15A81A0434,R1632042,MICRO WAVE ENGINEERING,F,0
15A81A0434,R1632043,VLSI DESIGN,ABSENT,0
15A81A0434,R1632044,DIGITAL SIGNAL PROCESSING,ABSENT,0
15A81A0434,R1632046,MICRO PROCESSORS & MICRO CONTROLLERS LAB,ABSENT,0
15A81A0434,R1632047,VLSI LAB,ABSENT,0
15A81A0434,R1632048,DIGITAL COMMUNICATIONS LAB,ABSENT,0
15A81A0434,R163204A,OOPS THROUGH JAVA,F,0
15A81A0452,P1632043,DIGITAL COMMUNICATIONS,ABSENT,0
15A81A0452,R1632041,MICROPROCESSORS AND MICROCONTROLLERS,F,0
15A81A0452,R1632042,MICRO WAVE ENGINEERING,F,0
15A81A0452,R1632043,VLSI DESIGN,ABSENT,0
15A81A0452,R1632044,DIGITAL SIGNAL PROCESSING,ABSENT,0
15A81A0452,R1632046,MICRO PROCESSORS & MICRO CONTROLLERS LAB,ABSENT,0
15A81A0452,R1632047,VLSI LAB,ABSENT,0
15A81A0452,R1632048,DIGITAL COMMUNICATIONS LAB,ABSENT,0
15A81A0452,R163204A,OOPS THROUGH JAVA,F,0
15A81A0475,P1632043,DIGITAL COMMUNICATIONS,B,3
15A81A0475,R1632041,MICROPROCESSORS AND MICROCONTROLLERS,B,3
15A81A0475,R1632042,MICRO WAVE ENGINEERING,B,3
15A81A0475,R1632043,VLSI DESIGN,D,3
15A81A0475,R1632044,DIGITAL SIGNAL PROCESSING,D,3
15A81A0475,R1632046,MICRO PROCESSORS & MICRO CONTROLLERS LAB,O,2
15A81A0475,R1632047,VLSI LAB,O,2
15A81A0475,R1632048,DIGITAL COMMUNICATIONS LAB,O,2
15A81A0475,R163204A,OOPS THROUGH JAVA,S,3
15A81A0535,R1632051,COMPUTER NETWORKS,ABSENT,0
15A81A0535,R1632052,DATA WAREHOUSING AND MINING,ABSENT,0
15A81A0535,R1632053,DESIGN AND ANALYSIS OF ALGORITHMS,ABSENT,0
15A81A0535,R1632054,SOFTWARE TESTING METHODOLOGIES,ABSENT,0
15A81A0535,R1632056,NETWORK PROGRAMMING LAB,ABSENT,0
15A81A0535,R1632057,SOFTWARE TESTING LAB,ABSENT,0
15A81A0535,R1632058,DATA WAREHOUSING AND MINING LAB,ABSENT,0
15A81A0535,R163205A,ARTIFICIAL INTELLIGENCE,ABSENT,0
15A81A05E9,R1632051,COMPUTER NETWORKS,F,0
15A81A05E9,R1632052,DATA WAREHOUSING AND MINING,F,0
15A81A05E9,R1632053,DESIGN AND ANALYSIS OF ALGORITHMS,F,0
15A81A05E9,R1632054,SOFTWARE TESTING METHODOLOGIES,ABSENT,0
15A81A05E9,R1632056,NETWORK PROGRAMMING LAB,D,2
15A81A05E9,R1632057,SOFTWARE TESTING LAB,A,2
15A81A05E9,R1632058,DATA WAREHOUSING AND MINING LAB,S,2
15A81A05E9,R163205A,ARTIFICIAL INTELLIGENCE,ABSENT,0
15A81A05J3,R1632051,COMPUTER NETWORKS,F,0
15A81A05J3,R1632052,DATA WAREHOUSING AND MINING,F,0
15A81A05J3,R1632053,DESIGN AND ANALYSIS OF ALGORITHMS,ABSENT,0
15A81A05J3,R1632054,SOFTWARE TESTING METHODOLOGIES,ABSENT,0
15A81A05J3,R1632056,NETWORK PROGRAMMING LAB,D,2
15A81A05J3,R1632057,SOFTWARE TESTING LAB,B,2
15A81A05J3,R1632058,DATA WAREHOUSING AND MINING LAB,S,2
15A81A05J3,R163205A,ARTIFICIAL INTELLIGENCE,ABSENT,0
15A81A05M4,R1632051,COMPUTER NETWORKS,A,3
Htno,Subcode,Subname,Grade,Credits
15A81A05M4,R1632052,DATA WAREHOUSING AND MINING,D,3
15A81A05M4,R1632053,DESIGN AND ANALYSIS OF ALGORITHMS,B,3
15A81A05M4,R1632054,SOFTWARE TESTING METHODOLOGIES,B,3
15A81A05M4,R1632056,NETWORK PROGRAMMING LAB,A,2
15A81A05M4,R1632057,SOFTWARE TESTING LAB,S,2
15A81A05M4,R1632058,DATA WAREHOUSING AND MINING LAB,O,2
15A81A05M4,R163205A,ARTIFICIAL INTELLIGENCE,A,3
15A81A05N7,R1632051,COMPUTER NETWORKS,B,3
15A81A05N7,R1632052,DATA WAREHOUSING AND MINING,C,3
15A81A05N7,R1632053,DESIGN AND ANALYSIS OF ALGORITHMS,C,3
15A81A05N7,R1632054,SOFTWARE TESTING METHODOLOGIES,A,3
15A81A05N7,R1632056,NETWORK PROGRAMMING LAB,A,2
15A81A05N7,R1632057,SOFTWARE TESTING LAB,S,2
15A81A05N7,R1632058,DATA WAREHOUSING AND MINING LAB,O,2
15A81A05N7,R163205A,ARTIFICIAL INTELLIGENCE,D,3
169P1A0562,R1632051,COMPUTER NETWORKS,C,3
169P1A0562,R1632052,DATA WAREHOUSING AND MINING,A,3
169P1A0562,R1632053,DESIGN AND ANALYSIS OF ALGORITHMS,C,3
169P1A0562,R1632054,SOFTWARE TESTING METHODOLOGIES,B,3
